Position	iES_BRG	iES_BRM	iES_CHCU	iES_CHCA	iES_CHFR	iES_TXL	log(iES_BRG)	log(iES_BRM)	log(iES_CHCU)	log(iES_CHCA)	log(iES_CHFR)	log(iES_TXL)	Rsb(BRG/BRM)	Rsb(BRG/CHCU)	Rsb(BRG/CHCA)	Rsb(BRG/CHFR)	Rsb(BRG/TXL)	Rsb(BRM/CHCU)	Rsb(BRM/CHCA)	Rsb(BRM/CHFR)	Rsb(BRM/TXL)	Rsb(CHCU/CHCA)	Rsb(CHCU/CHFR)	Rsb(CHCU/TXL)	Rsb(CHCA/CHFR)	Rsb(CHCA/TXL)	Rsb(CHFR/TXL)	RsbN(BRG/BRM)	RsbN(BRG/CHCU)	RsbN(BRG/CHCA)	RsbN(BRG/CHFR)	RsbN(BRG/TXL)	RsbN(BRM/CHCU)	RsbN(BRM/CHCA)	RsbN(BRM/CHFR)	RsbN(BRM/TXL)	RsbN(CHCU/CHCA)	RsbN(CHCU/CHFR)	RsbN(CHCU/TXL)	RsbN(CHCA/CHFR)	RsbN(CHCA/TXL)	RsbN(CHFR/TXL)	
26248.000000	24919.625000	6427.200000	37270.333333	10991.875000	42119.125000	45490.333333	10.123411	8.768294	10.525953	9.304912	10.648257	10.725255	1.355117	-0.402542	0.818499	-0.524846	-0.601844	-1.757659	-0.536617	-1.879963	-1.956961	1.221041	-0.122304	-0.199302	-1.343346	-1.420343	-0.076998	0.713243	-0.457256	1.089080	-1.687319	-0.531306	-0.895661	0.202806	-1.065136	-0.794582	1.640709	-0.664419	-0.479845	-1.650784	-1.941048	0.213910	
26714.000000	36750.875000	9343.700000	43699.846154	19590.450000	45134.833333	49056.875000	10.511917	9.142458	10.685100	9.882797	10.717410	10.800736	1.369460	-0.173183	0.629120	-0.205492	-0.288818	-1.542642	-0.740340	-1.574952	-1.658278	0.802302	-0.032310	-0.115636	-0.834612	-0.917938	-0.083326	0.740227	0.547418	0.632677	0.028715	0.389375	-0.493390	-0.114568	-0.564444	-0.318012	0.518146	-0.309236	-0.033049	-0.618707	-0.631471	0.196664	
26730.000000	29469.300000	4778.650000	42141.033333	18838.318182	44447.633333	49056.875000	10.291104	8.471913	10.648777	9.843648	10.702067	10.800736	1.819191	-0.357673	0.447456	-0.410963	-0.509631	-2.176864	-1.371735	-2.230154	-2.328822	0.805129	-0.053290	-0.151958	-0.858419	-0.957087	-0.098669	1.586295	-0.260713	0.194868	-1.075371	-0.260087	-1.679946	-1.098200	-1.639993	-1.387914	0.525723	-0.392039	-0.227019	-0.667004	-0.733517	0.154852	
26753.000000	29469.300000	5559.416667	42141.033333	27467.444444	44447.633333	49056.875000	10.291104	8.623248	10.648777	10.220757	10.702067	10.800736	1.667856	-0.357673	0.070348	-0.410963	-0.509631	-2.025529	-1.597508	-2.078819	-2.177487	0.428020	-0.053290	-0.151958	-0.481310	-0.579979	-0.098669	1.301592	-0.260713	-0.713962	-1.075371	-0.260087	-1.396815	-1.449926	-1.391568	-1.146448	-0.485236	-0.392039	-0.227019	0.098043	0.249459	0.154852	
27025.000000	35700.250000	5559.416667	44175.678571	24738.300000	44447.633333	49056.875000	10.482913	8.623248	10.695930	10.116108	10.702067	10.800736	1.859665	-0.213017	0.366805	-0.219154	-0.317823	-2.072681	-1.492859	-2.078819	-2.177487	0.579822	-0.006137	-0.104806	-0.585959	-0.684628	-0.098669	1.662437	0.372930	0.000499	-0.044696	0.304067	-1.485032	-1.286897	-1.391568	-1.146448	-0.078284	-0.205941	0.024784	-0.114260	-0.023320	0.154852	
27105.000000	47486.000000	6883.500000	44175.678571	27467.444444	44447.633333	49056.875000	10.768190	8.836883	10.695930	10.220757	10.702067	10.800736	1.931308	0.072261	0.547433	0.066123	-0.032545	-1.859047	-1.383874	-1.865184	-1.963853	0.475173	-0.006137	-0.104806	-0.481310	-0.579979	-0.098669	1.797218	1.622543	0.435813	1.488227	1.143133	-1.085347	-1.117112	-1.040876	-0.805579	-0.358829	-0.205941	0.024784	0.098043	0.249459	0.154852	
28389.000000	29275.000000	4547.555556	41611.933333	19666.291667	44447.633333	49056.875000	10.284489	8.422345	10.636142	9.886661	10.702067	10.800736	1.862144	-0.351653	0.397828	-0.417578	-0.516246	-2.213797	-1.464316	-2.279722	-2.378390	0.749481	-0.065925	-0.164593	-0.815406	-0.914074	-0.098669	1.667102	-0.234345	0.075264	-1.110917	-0.279544	-1.749044	-1.242430	-1.721362	-1.467004	0.376541	-0.441905	-0.294493	-0.579742	-0.621399	0.154852	
28423.000000	29275.000000	4099.500000	41611.933333	19666.291667	44447.633333	49056.875000	10.284489	8.318620	10.636142	9.886661	10.702067	10.800736	1.965869	-0.351653	0.397828	-0.417578	-0.516246	-2.317522	-1.568041	-2.383447	-2.482115	0.749481	-0.065925	-0.164593	-0.815406	-0.914074	-0.098669	1.862237	-0.234345	0.075264	-1.110917	-0.279544	-1.943101	-1.404020	-1.891632	-1.632505	0.376541	-0.441905	-0.294493	-0.579742	-0.621399	0.154852	
28449.000000	29275.000000	4099.500000	41611.933333	19666.291667	45334.571429	49056.875000	10.284489	8.318620	10.636142	9.886661	10.721825	10.800736	1.965869	-0.351653	0.397828	-0.437336	-0.516246	-2.317522	-1.568041	-2.403205	-2.482115	0.749481	-0.085683	-0.164593	-0.835164	-0.914074	-0.078910	1.862237	-0.234345	0.075264	-1.217087	-0.279544	-1.943101	-1.404020	-1.924066	-1.632505	0.376541	-0.519885	-0.294493	-0.619826	-0.621399	0.208698	
28467.000000	29275.000000	4099.500000	41611.933333	19666.291667	42889.500000	49056.875000	10.284489	8.318620	10.636142	9.886661	10.666382	10.800736	1.965869	-0.351653	0.397828	-0.381893	-0.516246	-2.317522	-1.568041	-2.347762	-2.482115	0.749481	-0.030240	-0.164593	-0.779721	-0.914074	-0.134353	1.862237	-0.234345	0.075264	-0.919167	-0.279544	-1.943101	-1.404020	-1.833053	-1.632505	0.376541	-0.301068	-0.294493	-0.507348	-0.621399	0.057603	
28479.000000	36412.250000	5593.000000	41611.933333	25051.350000	42889.500000	49056.875000	10.502661	8.629271	10.636142	10.128683	10.666382	10.800736	1.873389	-0.133482	0.373978	-0.163722	-0.298075	-2.006871	-1.499412	-2.037111	-2.171465	0.507459	-0.030240	-0.164593	-0.537699	-0.672053	-0.134353	1.688257	0.721321	0.017785	0.253166	0.362149	-1.361909	-1.297105	-1.323103	-1.136839	-0.272275	-0.301068	-0.294493	-0.016354	0.009458	0.057603	
28492.000000	29364.800000	4095.550000	41611.933333	20060.541667	42889.500000	49056.875000	10.287552	8.317656	10.636142	9.906510	10.666382	10.800736	1.969896	-0.348590	0.381042	-0.378830	-0.513184	-2.318486	-1.588854	-2.348726	-2.483079	0.729632	-0.030240	-0.164593	-0.759872	-0.894226	-0.134353	1.869812	-0.220929	0.034810	-0.902709	-0.270535	-1.944905	-1.436444	-1.834636	-1.634043	0.323330	-0.301068	-0.294493	-0.467081	-0.569661	0.057603	
30829.000000	41787.666667	7351.875000	47543.153846	20060.541667	49017.269231	59933.333333	10.640357	8.902711	10.769393	9.906510	10.799928	11.000988	1.737646	-0.129037	0.733846	-0.159571	-0.360632	-1.866682	-1.003799	-1.897217	-2.098277	0.862883	-0.030535	-0.231595	-0.893418	-1.094478	-0.201060	1.432886	0.740792	0.885067	0.275468	0.178156	-1.099632	-0.525004	-1.093460	-1.020063	0.680552	-0.302232	-0.652295	-0.738007	-1.091642	-0.124190	
31047.000000	39754.625000	5800.500000	46742.066667	20060.541667	48019.633333	58774.875000	10.590481	8.665699	10.752400	9.906510	10.779365	10.981470	1.924782	-0.161918	0.683971	-0.188884	-0.390988	-2.086700	-1.240811	-2.113666	-2.315770	0.845890	-0.026965	-0.229070	-0.872855	-1.074960	-0.202105	1.784941	0.596759	0.764869	0.117960	0.088870	-1.511261	-0.894237	-1.448772	-1.367089	0.634996	-0.288144	-0.638810	-0.696291	-1.040765	-0.127036	
31060.000000	31908.400000	5842.666667	46742.066667	21583.636364	48019.633333	58774.875000	10.370625	8.672943	10.752400	9.979691	10.779365	10.981470	1.697682	-0.381775	0.390934	-0.408741	-0.610845	-2.079457	-1.306748	-2.106423	-2.308527	0.772709	-0.026965	-0.229070	-0.799675	-1.001779	-0.202105	1.357703	-0.366290	0.058650	-1.063431	-0.557780	-1.497709	-0.996959	-1.436882	-1.355532	0.438812	-0.288144	-0.638810	-0.547828	-0.850011	-0.127036	
31100.000000	31908.400000	5842.666667	46742.066667	21583.636364	48019.633333	58774.875000	10.370625	8.672943	10.752400	9.979691	10.779365	10.981470	1.697682	-0.381775	0.390934	-0.408741	-0.610845	-2.079457	-1.306748	-2.106423	-2.308527	0.772709	-0.026965	-0.229070	-0.799675	-1.001779	-0.202105	1.357703	-0.366290	0.058650	-1.063431	-0.557780	-1.497709	-0.996959	-1.436882	-1.355532	0.438812	-0.288144	-0.638810	-0.547828	-0.850011	-0.127036	
31516.000000	31908.400000	5116.950000	46742.066667	19807.416667	48019.633333	58774.875000	10.370625	8.540314	10.752400	9.893812	10.779365	10.981470	1.830311	-0.381775	0.476813	-0.408741	-0.610845	-2.212086	-1.353498	-2.239051	-2.441156	0.858588	-0.026965	-0.229070	-0.885554	-1.087658	-0.202105	1.607214	-0.366290	0.265618	-1.063431	-0.557780	-1.745843	-1.069789	-1.654599	-1.567151	0.669038	-0.288144	-0.638810	-0.722053	-1.073865	-0.127036	
31566.000000	31908.400000	5116.950000	46742.066667	19807.416667	48019.633333	58774.875000	10.370625	8.540314	10.752400	9.893812	10.779365	10.981470	1.830311	-0.381775	0.476813	-0.408741	-0.610845	-2.212086	-1.353498	-2.239051	-2.441156	0.858588	-0.026965	-0.229070	-0.885554	-1.087658	-0.202105	1.607214	-0.366290	0.265618	-1.063431	-0.557780	-1.745843	-1.069789	-1.654599	-1.567151	0.669038	-0.288144	-0.638810	-0.722053	-1.073865	-0.127036	
31567.000000	31908.400000	5116.950000	46742.066667	19807.416667	48019.633333	58774.875000	10.370625	8.540314	10.752400	9.893812	10.779365	10.981470	1.830311	-0.381775	0.476813	-0.408741	-0.610845	-2.212086	-1.353498	-2.239051	-2.441156	0.858588	-0.026965	-0.229070	-0.885554	-1.087658	-0.202105	1.607214	-0.366290	0.265618	-1.063431	-0.557780	-1.745843	-1.069789	-1.654599	-1.567151	0.669038	-0.288144	-0.638810	-0.722053	-1.073865	-0.127036	
31569.000000	31908.400000	5116.950000	46742.066667	19807.416667	48019.633333	58774.875000	10.370625	8.540314	10.752400	9.893812	10.779365	10.981470	1.830311	-0.381775	0.476813	-0.408741	-0.610845	-2.212086	-1.353498	-2.239051	-2.441156	0.858588	-0.026965	-0.229070	-0.885554	-1.087658	-0.202105	1.607214	-0.366290	0.265618	-1.063431	-0.557780	-1.745843	-1.069789	-1.654599	-1.567151	0.669038	-0.288144	-0.638810	-0.722053	-1.073865	-0.127036	
31585.000000	52793.166667	5944.312500	46742.066667	27467.444444	48019.633333	58774.875000	10.874137	8.690190	10.752400	10.220757	10.779365	10.981470	2.183947	0.121737	0.653380	0.094772	-0.107333	-2.062210	-1.530567	-2.089175	-2.291280	0.531643	-0.026965	-0.229070	-0.558608	-0.760713	-0.202105	2.272502	1.839267	0.691144	1.642169	0.923166	-1.465441	-1.345640	-1.408569	-1.328012	-0.207443	-0.288144	-0.638810	-0.058773	-0.221645	-0.127036	
35348.000000	34428.200000	6950.416667	49672.250000	22867.181818	48019.633333	58774.875000	10.446631	8.846557	10.813202	10.037458	10.779365	10.981470	1.600074	-0.366570	0.409173	-0.332734	-0.534838	-1.966645	-1.190901	-1.932808	-2.134913	0.775744	0.033836	-0.168268	-0.741907	-0.944012	-0.202105	1.174076	-0.299688	0.102606	-0.655013	-0.334227	-1.286650	-0.816485	-1.151884	-1.078518	0.446947	-0.048176	-0.314116	-0.430635	-0.699434	-0.127036	
35349.000000	34428.200000	9773.812500	46481.000000	21108.916667	48019.633333	58774.875000	10.446631	9.187462	10.746799	9.957451	10.779365	10.981470	1.259169	-0.300168	0.489180	-0.332734	-0.534838	-1.559337	-0.769989	-1.591903	-1.794008	0.789348	-0.032566	-0.234671	-0.821914	-1.024019	-0.202105	0.532740	-0.008821	0.295423	-0.655013	-0.334227	-0.524624	-0.160757	-0.592270	-0.534579	0.483418	-0.310249	-0.668720	-0.592947	-0.907982	-0.127036	
37087.000000	34428.200000	10836.250000	46481.000000	21108.916667	48019.633333	58774.875000	10.446631	9.290652	10.746799	9.957451	10.779365	10.981470	1.155979	-0.300168	0.489180	-0.332734	-0.534838	-1.456147	-0.666799	-1.488713	-1.690817	0.789348	-0.032566	-0.234671	-0.821914	-1.024019	-0.202105	0.338611	-0.008821	0.295423	-0.655013	-0.334227	-0.331566	0.000000	-0.422878	-0.369931	0.483418	-0.310249	-0.668720	-0.592947	-0.907982	-0.127036	
37092.000000	34428.200000	10836.250000	46481.000000	21108.916667	48019.633333	58774.875000	10.446631	9.290652	10.746799	9.957451	10.779365	10.981470	1.155979	-0.300168	0.489180	-0.332734	-0.534838	-1.456147	-0.666799	-1.488713	-1.690817	0.789348	-0.032566	-0.234671	-0.821914	-1.024019	-0.202105	0.338611	-0.008821	0.295423	-0.655013	-0.334227	-0.331566	0.000000	-0.422878	-0.369931	0.483418	-0.310249	-0.668720	-0.592947	-0.907982	-0.127036	
37096.000000	34428.200000	10836.250000	46481.000000	21108.916667	48019.633333	58774.875000	10.446631	9.290652	10.746799	9.957451	10.779365	10.981470	1.155979	-0.300168	0.489180	-0.332734	-0.534838	-1.456147	-0.666799	-1.488713	-1.690817	0.789348	-0.032566	-0.234671	-0.821914	-1.024019	-0.202105	0.338611	-0.008821	0.295423	-0.655013	-0.334227	-0.331566	0.000000	-0.422878	-0.369931	0.483418	-0.310249	-0.668720	-0.592947	-0.907982	-0.127036	
37137.000000	34428.200000	13576.500000	53234.375000	31268.416667	50831.142857	58774.875000	10.446631	9.516096	10.882460	10.350364	10.836264	10.981470	0.930536	-0.435828	0.096267	-0.389633	-0.534838	-1.366364	-0.834268	-1.320169	-1.465374	0.532096	0.046195	-0.099010	-0.485901	-0.631106	-0.145205	-0.085510	-0.603061	-0.651495	-0.960758	-0.334227	-0.163593	-0.260896	-0.146203	-0.010219	-0.206229	0.000600	0.055735	0.088731	0.116190	0.028029	
37167.000000	42113.875000	16419.428571	56155.714286	35971.450000	48879.500000	58774.875000	10.648133	9.706221	10.935884	10.490481	10.797113	10.981470	0.941912	-0.287751	0.157652	-0.148981	-0.333337	-1.229663	-0.784260	-1.090893	-1.275249	0.445403	0.138770	-0.045586	-0.306633	-0.490989	-0.184356	-0.064108	0.045568	-0.503559	0.332376	0.258435	0.092159	-0.182990	0.230166	0.293139	-0.438637	0.365968	0.341030	0.452415	0.481422	-0.078668	
49918.000000	41209.000000	19091.600000	53035.600000	30995.166667	48879.500000	58774.875000	10.626412	9.857004	10.878719	10.341587	10.797113	10.981470	0.769408	-0.252307	0.284825	-0.170701	-0.355058	-1.021715	-0.484583	-0.940110	-1.124466	0.537132	0.081605	-0.102751	-0.455527	-0.639883	-0.184356	-0.388636	0.200827	-0.197071	0.215662	0.194550	0.481206	0.283869	0.477684	0.533725	-0.192727	0.140354	0.035757	0.150351	0.093312	-0.078668	
49921.000000	33889.100000	11154.444444	53035.600000	30995.166667	48879.500000	58774.875000	10.430849	9.319593	10.878719	10.341587	10.797113	10.981470	1.111255	-0.447870	0.089262	-0.366265	-0.550621	-1.559125	-1.021993	-1.477520	-1.661876	0.537132	0.081605	-0.102751	-0.455527	-0.639883	-0.184356	0.254473	-0.655808	-0.668378	-0.835188	-0.380647	-0.524228	-0.553348	-0.404504	-0.323753	-0.192727	0.140354	0.035757	0.150351	0.093312	-0.078668	
50077.000000	40747.250000	13726.800000	53035.600000	35971.450000	48879.500000	58774.875000	10.615144	9.527105	10.878719	10.490481	10.797113	10.981470	1.088038	-0.263575	0.124663	-0.181970	-0.366326	-1.351613	-0.963375	-1.270008	-1.454364	0.388238	0.081605	-0.102751	-0.306633	-0.490989	-0.184356	0.210795	0.151467	-0.583062	0.155112	0.161407	-0.135996	-0.462029	-0.063862	0.007348	-0.591886	0.140354	0.035757	0.452415	0.481422	-0.078668	
50089.000000	33160.500000	11416.000000	53035.600000	31773.045455	48879.500000	58774.875000	10.409115	9.342771	10.878719	10.366374	10.797113	10.981470	1.066344	-0.469604	0.042741	-0.387999	-0.572355	-1.535948	-1.023602	-1.454342	-1.638699	0.512345	0.081605	-0.102751	-0.430740	-0.615096	-0.184356	0.169982	-0.751010	-0.780493	-0.951975	-0.444572	-0.480865	-0.555855	-0.366456	-0.286771	-0.259177	0.140354	0.035757	0.200636	0.157922	-0.078668	
51708.000000	33160.500000	8900.250000	53035.600000	29905.227273	48879.500000	58774.875000	10.409115	9.093835	10.878719	10.305789	10.797113	10.981470	1.315280	-0.469604	0.103326	-0.387999	-0.572355	-1.784884	-1.211954	-1.703279	-1.887635	0.572930	0.081605	-0.102751	-0.491325	-0.675681	-0.184356	0.638300	-0.751010	-0.634484	-0.951975	-0.444572	-0.946596	-0.849282	-0.775099	-0.683968	-0.096760	0.140354	0.035757	0.077727	0.000000	-0.078668	
51765.000000	33160.500000	8900.250000	53035.600000	29905.227273	48879.500000	58774.875000	10.409115	9.093835	10.878719	10.305789	10.797113	10.981470	1.315280	-0.469604	0.103326	-0.387999	-0.572355	-1.784884	-1.211954	-1.703279	-1.887635	0.572930	0.081605	-0.102751	-0.491325	-0.675681	-0.184356	0.638300	-0.751010	-0.634484	-0.951975	-0.444572	-0.946596	-0.849282	-0.775099	-0.683968	-0.096760	0.140354	0.035757	0.077727	0.000000	-0.078668	
51769.000000	33160.500000	8900.250000	53035.600000	29905.227273	48879.500000	58774.875000	10.409115	9.093835	10.878719	10.305789	10.797113	10.981470	1.315280	-0.469604	0.103326	-0.387999	-0.572355	-1.784884	-1.211954	-1.703279	-1.887635	0.572930	0.081605	-0.102751	-0.491325	-0.675681	-0.184356	0.638300	-0.751010	-0.634484	-0.951975	-0.444572	-0.946596	-0.849282	-0.775099	-0.683968	-0.096760	0.140354	0.035757	0.077727	0.000000	-0.078668	
51773.000000	33160.500000	8900.250000	53035.600000	27413.416667	52508.653846	58774.875000	10.409115	9.093835	10.878719	10.218788	10.868733	10.981470	1.315280	-0.469604	0.190327	-0.459619	-0.572355	-1.784884	-1.124953	-1.774899	-1.887635	0.659931	0.009985	-0.102751	-0.649945	-0.762682	-0.112736	0.638300	-0.751010	-0.424812	-1.336821	-0.444572	-0.946596	-0.713746	-0.892667	-0.683968	0.136474	-0.142310	0.035757	-0.244070	-0.226777	0.116514	
51776.000000	33160.500000	8900.250000	53035.600000	29905.227273	50311.033333	58774.875000	10.409115	9.093835	10.878719	10.305789	10.825980	10.981470	1.315280	-0.469604	0.103326	-0.416865	-0.572355	-1.784884	-1.211954	-1.732145	-1.887635	0.572930	0.052739	-0.102751	-0.520191	-0.675681	-0.155490	0.638300	-0.751010	-0.634484	-1.107087	-0.444572	-0.946596	-0.849282	-0.822485	-0.683968	-0.096760	0.026427	0.035757	0.019165	0.000000	0.000000	
54017.000000	40747.250000	10523.875000	56155.714286	30944.818182	50311.033333	58774.875000	10.615144	9.261402	10.935884	10.339961	10.825980	10.981470	1.353742	-0.320740	0.275183	-0.210836	-0.366326	-1.674482	-1.078559	-1.564578	-1.720068	0.595923	0.109904	-0.045586	-0.486019	-0.641509	-0.155490	0.710657	-0.098935	-0.220310	0.000000	0.161407	-0.740047	-0.641470	-0.547414	-0.416602	-0.035120	0.252041	0.341030	0.088491	0.089074	0.000000	
54341.000000	32634.100000	8930.444444	52681.666667	28381.208333	50311.033333	58774.875000	10.393113	9.097221	10.872023	10.253483	10.825980	10.981470	1.295892	-0.478910	0.139631	-0.432867	-0.588357	-1.774801	-1.156261	-1.728758	-1.884248	0.618540	0.046043	-0.109447	-0.572497	-0.727987	-0.155490	0.601825	-0.791773	-0.546990	-1.193071	-0.491637	-0.927733	-0.762520	-0.816925	-0.678564	0.025513	0.000000	0.000000	-0.086949	-0.136342	0.000000	
54380.000000	40747.250000	12324.400000	52681.666667	33680.100000	50311.033333	58774.875000	10.615144	9.419336	10.872023	10.424662	10.825980	10.981470	1.195807	-0.256879	0.190481	-0.210836	-0.366326	-1.452686	-1.005326	-1.406643	-1.562133	0.447360	0.046043	-0.109447	-0.401317	-0.556807	-0.155490	0.413539	0.180798	-0.424440	0.000000	0.161407	-0.325093	-0.527383	-0.288156	-0.164606	-0.433389	0.000000	0.000000	0.260327	0.309858	0.000000	
54487.000000	33196.600000	10461.888889	52681.666667	28508.625000	50311.033333	58774.875000	10.410203	9.255494	10.872023	10.257962	10.825980	10.981470	1.154708	-0.461820	0.152241	-0.415777	-0.571267	-1.616528	-1.002468	-1.570485	-1.725975	0.614061	0.046043	-0.109447	-0.568018	-0.723508	-0.155490	0.336220	-0.716914	-0.516600	-1.101240	-0.441372	-0.631622	-0.522929	-0.557112	-0.426028	0.013505	0.000000	0.000000	-0.077862	-0.124666	0.000000	
54571.000000	40343.375000	28487.333333	52681.666667	30770.272727	50311.033333	58774.875000	10.605182	10.257215	10.872023	10.334304	10.825980	10.981470	0.347968	-0.266840	0.270878	-0.220797	-0.376287	-0.614808	-0.077090	-0.568765	-0.724255	0.537718	0.046043	-0.109447	-0.491675	-0.647165	-0.155490	-1.181481	0.137164	-0.230684	-0.053526	0.132109	1.242482	0.918691	1.087267	1.172291	-0.191156	0.000000	0.000000	0.077015	0.074330	0.000000	
